V_T1_I1,I_T1_I1
5.70333108928242,-1.86223006435175
5.997223715438,-1.81127182823668
6.17885934746379,-1.79058086471252
6.17885934749401,-1.82719944196485
5.99722371551712,-1.92594762783672
5.70333108938022,-2.06758420768932
5.40943846322464,-2.2161580648706
5.22780283119886,-2.33274204420577
5.22780283116863,-2.39030342779091
5.40943846314552,-2.38403100551795
4.96104464207113,-2.5805205187357
5.2549372682267,-2.53977676415929
5.4365729002525,-2.52886110741505
5.43657290028272,-2.57480181495687
5.25493726830583,-2.68240649684444
4.96104464216893,-2.83242297935307
4.66715201601336,-2.98889063945263
4.48551638398757,-3.11287422168315
4.48551638395734,-3.17733426679931
4.66715201593423,-3.17745413472521
5.59687859996928,-2.92060500126649
5.89077122612486,-2.85043896217204
6.07240685815065,-2.8104767895158
6.07240685818088,-2.82776554864479
5.89077122620399,-2.90712982056299
5.59687860006709,-3.02933262928612
5.30298597391152,-3.15842683195398
5.12135034188572,-3.25548899209816
5.1213503418555,-3.29348986531623
5.30298597383238,-3.2676214797603
6.35901759353881,-2.94317454106064
6.65291021969438,-2.84479363217453
6.83454585172018,-2.77718647788763
6.83454585175041,-2.76740499073556
6.65291021977353,-2.8202770779704
6.35901759363663,-2.91656763657414
6.06512496748105,-3.02033001084513
5.88348933545526,-3.09263993284289
5.88348933542503,-3.10646607483473
6.06512496740191,-3.05699719604867
5.33233990320284,-3.3055931554128
5.62623252935842,-3.22990455282662
5.80786816138421,-3.18439109265958
5.80786816141445,-3.19607206030176
5.62623252943757,-3.26974563271877
5.33233990330067,-3.38614980113409
5.03844727714509,-3.50931375427725
4.85681164511929,-3.60029174268218
4.85681164508906,-3.63203355337604
5.03844727706594,-3.59971157745562
5.02554259041111,-3.62479157446801
5.31943521656669,-3.54649957706841
5.50107084859249,-3.49804459348165
5.50107084862272,-3.50644896326893
5.31943521664585,-3.57651450999996
5.02554259050895,-3.68898343383814
4.73164996435337,-3.80788966486384
4.55001433232757,-3.89429269766725
4.55001433229733,-3.92114803659793
4.73164996427421,-3.88363423421139
5.88009962759956,-3.51623450309994
6.17399225375514,-3.40284178243847
6.35562788578095,-3.31975247312954
6.35562788581119,-3.29401297182855
6.17399225383431,-3.3304470212718
5.88009962769742,-3.40981666314449
5.58620700154184,-3.49617365282846
5.40457136951603,-3.55059335641634
5.40457136948579,-3.54604525923466
5.58620700146267,-3.47772006827604
5.54675431870233,-3.47594689568317
5.84064694485792,-3.36294486894153
6.02228257688372,-3.28009639906109
6.02228257691396,-3.25443660261951
5.84064694493709,-3.29077893995873
5.5467543188002,-3.36987614482855
5.25286169264462,-3.45577161514369
5.07122606061881,-3.509533285309
5.07122606058857,-3.50412410942216
5.25286169256544,-3.43472913782037
6.08124562032347,-3.14249019556049
6.37513824647905,-3.0060789091105
6.55677387850486,-2.90016160018704
6.55677387853511,-2.85178321627513
6.37513824655823,-2.86576596237143
6.08124562042134,-2.92287026749585
5.78735299426576,-2.9871462126147
5.60571736223995,-3.01966744035528
5.60571736220971,-2.99340167574844
5.78735299418658,-2.90353784039501
5.62810706978832,-2.92032102217486
5.92199969594391,-2.78915716781006
6.10363532796972,-2.68824304268354
6.10363532799997,-2.64461029317973
5.9219996960231,-2.66306918758205
5.62810706988621,-2.72436954554965
5.33421444373062,-2.79255212815469
5.15257881170481,-2.82868250895862
5.15257881167456,-2.80572155545739
5.33421444365143,-2.71885250338362
6.35762714826723,-2.34422770224824
6.65151977442282,-2.18556987271937
6.83315540644863,-2.05760597513401
6.83315540647888,-1.98738295348409
6.65151977450201,-1.97972485333301
6.35762714836512,-2.01539379818739
6.06373452220954,-2.0584414270359
5.88209889018373,-2.06994281344295
5.88209889015348,-2.02286699541504
6.06373452213034,-1.91240409843415
5.68724110261786,-1.98119201555991
5.98113372877344,-1.83533869814209
6.16276936079926,-1.71980867931356
6.16276936082951,-1.66163138792294
5.98113372885265,-1.66561526281117
5.68724110271576,-1.71250867328193
5.39334847656017,-1.76635129974103
5.21171284453436,-1.78820799501117
5.2117128445041,-1.75103925568553
5.39334847648097,-1.65002828603203
6.89271994819146,-1.10272767576132
7.18661257434705,-0.918045330995904
7.36824820637286,-0.764432358164915
7.36824820640312,-0.668943640955256
7.18661257442626,-0.636410447592365
6.89271994828937,-0.647601431161027
6.59882732213379,-0.66657409123499
6.41719169010797,-0.654408717141849
6.41719169007771,-0.584078942048348
6.59882732205457,-0.450778890212081
6.03752568190635,-0.55873209462754
6.33141830806194,-0.395550428266301
6.51305394008776,-0.262998031902211
6.51305394011802,-0.188103578209111
6.33141830814116,-0.175674661845965
6.03752568200427,-0.206458729526381
5.74363305584868,-0.244494469905805
5.56199742382286,-0.250845683789968
5.5619974237926,-0.198471764023248
5.74363305576946,-0.0825547675734415
4.98695188280841,-0.272413067122165
5.280844508964,-0.130373307888774
5.46248014098982,-0.0182397670437859
5.46248014102009,0.0369657828005234
5.28084450904323,0.0304404478726519
4.98695188290634,-0.0185606245651362
4.69305925675075,-0.0740755438337215
4.51142362472493,-0.0971694539330068
4.51142362469467,-0.0608049216307804
4.69305925667152,0.0398310827889232
4.91332284115708,0.160953366831694
5.20721546731267,0.313810578547428
5.3888510993385,0.436834038028815
5.38885109936876,0.502977202755527
5.20721546739191,0.507413169175743
4.91332284125502,0.469373847670274
4.61943021509943,0.424798675878078
4.43779458307361,0.412600849748112
4.43779458304334,0.459796942861795
4.61943021502019,0.571179931404264
6.99250458358364,1.42030985920961
7.28639720973923,1.6380355336378
7.46803284176506,1.82439566019198
7.46803284179533,1.95229648649665
7.28639720981847,2.01686923786205
6.99250458368159,2.03730912809831
6.698611957526,2.04952390627849
6.51697632550017,2.09239991920887
6.5169763254699,2.19293156050072
6.69861195744675,2.35589412400183
