V_T1_I1,I_T1_I1
14.3614182551658,22.1267633018642
14.6553108813121,22.2899253179456
14.8369465133134,22.4233112044553
14.8369465133135,22.4984882888021
14.6553108813122,22.5089467481502
14.3614182551659,22.472595300076
14.0675256290197,22.4249295309463
13.8858899970183,22.405482337263
13.8858899970183,22.4427319594887
14.0675256290196,22.5432322348774
14.3511923339374,22.6857094468477
14.6450849600836,22.8411730456886
14.826720592085,22.9670830925188
14.826720592085,23.0349992963191
14.6450849600837,23.0384044350636
14.3511923339375,22.9952000403435
14.0572997077912,22.940874719878
13.8756640757898,22.9149545931516
13.8756640757898,22.9459113196893
14.0572997077911,23.0402923464879
13.9019814434258,23.0305381875818
14.1958740695721,23.1651428954264
14.3775097015735,23.2707717153158
14.3775097015735,23.3189664256182
14.1958740695722,23.3031923833265
13.901981443426,23.2413341946517
13.6080888172797,23.1688640238883
13.4264531852783,23.1252920157802
13.4264531852783,23.1390743108877
13.6080888172796,23.2167432804657
14.8862094456346,23.6683785444443
15.1801020717809,23.8363563396561
15.3617377037822,23.9743996440987
15.3617377037823,24.0540768214896
15.180102071781,24.0688790769476
14.8862094456347,24.0367161478488
14.5923168194885,23.9930846323985
14.4106811874871,23.9775184311613
14.4106811874871,24.0184967810678
14.5923168194884,24.1225745084197
13.6344378291452,23.8547682131741
13.9283304552915,23.9708926237249
14.1099660872928,24.058508909238
14.1099660872929,24.0891430883984
13.9283304552916,24.0562452146189
13.6344378291454,23.9776850340545
13.3405452029991,23.8889202822327
13.1589095709977,23.8294470945199
13.1589095709977,23.8277080099146
13.340545202999,23.8902221946699
12.4989947720633,23.62073486373
12.7928873982096,23.7014936135925
12.974523030211,23.7546852426827
12.974523030211,23.7518072298366
12.7928873982097,23.6862819001354
12.4989947720635,23.5759520605586
12.2051021459172,23.4562492748681
12.0234665139159,23.3666442529232
12.0234665139158,23.335554833904
12.2051021459171,23.3694761899273
12.906398849513,23.5862412404947
13.2002914756592,23.6928123512494
13.3819271076606,23.7710224191087
13.3819271076606,23.7923906227455
13.2002914756593,23.7503603923215
12.9063988495131,23.6627950614545
12.6125062233669,23.5651461579665
12.4308705913655,23.4969038086296
12.4308705913654,23.4865047373945
12.6125062233667,23.5404624836002
15.2814907096436,24.4323052049571
15.5753833357899,24.6252003149959
15.7570189677913,24.78724057804
15.7570189677913,24.8900165256615
15.57538333579,24.9270409494784
