V_T1_I1,I_T1_I1
20.3614182551658,23.8987267498597
20.6553108813121,24.1756861276773
20.8369465133134,24.3400532517608
20.8369465133135,24.3219603878624
20.6553108813122,24.1207876047587
20.3614182551659,23.8054020785969
20.0675256290197,23.4878558317262
19.8858899970183,23.2805884749125
19.8858899970183,23.2534820498483
20.0675256290196,23.4071715614833
20.3511923339374,23.662579747412
20.6450849600836,23.9280889342636
20.826720592085,24.0810850273575
20.826720592085,24.0517040824115
20.6450849600837,23.8393299305056
20.3511923339375,23.5128334811745
20.0572997077912,23.1842704599953
19.8756640757898,22.9660841495665
19.8756640757898,22.9281602307952
20.0572997077911,23.0711373140147
19.9019814434258,22.8769567374481
20.1958740695721,23.1305111018205
20.3775097015735,23.2716685315771
20.3775097015735,23.2305690281496
20.1958740695722,23.0066003282846
19.901981443426,22.6686372058349
19.6080888172797,22.3287392080585
19.4264531852783,22.0993533953251
19.4264531852783,22.050369181143
19.6080888172796,22.1824288620334
20.8862094456346,23.4109163089188
21.1801020717809,23.65862778006
21.3617377037822,23.794094368886
21.3617377037823,23.7474579732074
21.180102071781,23.518108174829
20.8862094456347,23.1749215407259
20.5923168194885,22.8299593587446
20.4106811874871,22.5956703767301
20.4106811874871,22.5419456419902
20.5923168194884,22.6694290306254
19.6344378291452,21.6575063174571
19.9283304552915,21.893521566744
20.1099660872928,22.0174630795852
20.1099660872929,21.959476594794
19.9283304552916,21.7189554768377
19.6344378291454,21.3647800157528
19.3405452029991,21.0090151616061
19.1589095709977,20.7641132624002
19.1589095709977,20.6999689023391
19.340545202999,20.8172294299785
18.4989947720633,19.9116125865212
18.7928873982096,20.1381963969725
18.974523030211,20.252913124015
18.974523030211,20.1859115806042
18.7928873982097,19.9365881354324
18.4989947720635,19.5738260118424
18.2051021459172,19.2096930213115
18.0234665139159,18.9566443004032
18.0234665139158,18.8845771481036
18.2051021459171,18.9941415530672
18.906398849513,19.6239049571064
19.2002914756592,19.8483961306127
19.3819271076606,19.9612526223568
19.3819271076606,19.892623864572
19.2002914756593,19.6419067675547
18.9063988495131,19.2779850183986
18.6125062233669,18.9129268143232
18.4308705913655,18.6591875994984
18.4308705913654,18.5866649022779
18.6125062233667,18.696008862369
21.2814907096436,21.2934747789208
21.5753833357899,21.5247744311805
21.7570189677913,21.6446722764138
21.7570189677913,21.5833153990212
21.57538333579,21.3400982846344
21.2814907096438,20.9839021196583
20.9875980834975,20.6267925254344
20.8059624514962,20.3812222959229
20.8059624514961,20.3170862358207
20.9875980834974,20.4350316886389
19.6961613478534,19.0808898598424
19.9900539739997,19.3080113935352
20.171689606001,19.4239416059594
20.1716896060011,19.3588289033124
19.9900539739998,19.1120690224173
19.6961613478536,18.7525443298492
19.4022687217073,18.3923215557048
19.2206330897059,18.1438545309154
19.2206330897059,18.0770390250194
19.4022687217072,18.1925232739183
19.3212377287608,18.0465450466274
19.6151303549071,18.2756787009278
19.7967659869085,18.3938401570872
19.7967659869085,18.3311770768391
19.6151303549072,18.0870843797548
19.321237728761,17.730443542642
19.0273451026147,17.3733203336107
18.8457094706134,17.1281675497083
18.8457094706133,17.0648798550358
19.0273451026146,17.1841043088736
19.4070423789684,17.5028057025842
19.7009350051146,17.7376362096317
19.882570637116,17.8617024422792
19.8825706371161,17.8051500933591
19.7009350051148,17.5673720448991
19.4070423789685,17.2172476681992
19.1131497528223,16.8668405586008
18.9315141208209,16.6286012738451
18.9315141208208,16.5724221729368
19.1131497528221,16.6989479450378
19.4722723352836,17.004566253248
19.7661649614299,17.2470075826999
19.9478005934313,17.3788698928636
